Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,03/10/15,Ternana,Novara,2,0,H,0,0,D,2.3,3.1,3.25,2.5,2.95,2.9,2.4,2.8,3,2.4,3,2.9,2.58,3,3.28,2.5,3,2.8,2.55,3,3.2,42,2.58,2.43,3.1,2.96,3.28,2.99,32,2.43,2.29,1.62,1.57,22,0,1.75,1.71,2.21,2.12
I2,03/10/15,Virtus Entella,Pro Vercelli,1,0,H,1,0,H,2.3,3.1,3.25,2.3,2.9,3.3,2.4,2.8,3,2.4,2.9,3.3,2.48,3.02,3.43,2.3,3,3.1,2.4,3,3.4,41,2.48,2.32,3.1,2.96,3.43,3.17,31,2.45,2.34,1.62,1.55,23,-0.25,2.09,2,1.88,1.82
I2,03/10/15,Virtus Lanciano,Spezia,0,0,D,0,0,D,3,3,2.5,3,2.95,2.45,2.9,2.8,2.5,3,2.9,2.5,3.21,3.07,2.58,2.9,3,2.45,3.1,3,2.6,42,3.21,2.94,3.15,2.98,2.65,2.45,32,2.36,2.25,1.68,1.6,22,0,2.19,2.09,1.83,1.73
I2,05/10/15,Trapani,Perugia,0,0,D,0,0,D,2.2,2.9,3.75,2.35,2.95,3.2,2.3,2.8,3.1,2.3,3.1,3.2,2.4,3.12,3.47,2.3,3,3.1,2.3,3.1,3.4,38,2.4,2.27,3.12,2.99,3.75,3.22,31,2.26,2.18,1.73,1.64,22,-0.25,2.03,1.96,1.93,1.85
I2,10/10/15,Pro Vercelli,Novara,0,1,A,0,1,A,2.6,3,2.9,2.6,2.85,2.9,2.6,2.8,2.8,2.62,2.9,2.9,2.7,3.06,3.04,2.5,3,2.8,2.75,3,2.9,44,2.75,2.56,3.12,2.95,3.04,2.84,33,2.4,2.31,1.62,1.56,26,0,1.89,1.83,2.07,1.97
I2,10/10/15,Vicenza,Crotone,0,0,D,0,0,D,2,3.2,4,2.05,3,3.9,2,2.9,3.7,2.1,3,3.8,2.07,3.17,4.42,2.05,3.1,3.6,2.05,3.13,4.3,44,2.12,2.03,3.2,3.06,4.42,3.8,33,2.45,2.33,1.6,1.56,26,-0.25,1.83,1.75,2.19,2.08
I2,11/10/15,Ascoli,Pescara,3,1,H,0,0,D,2.8,3,2.7,2.6,3,2.75,2.6,2.8,2.8,2.7,3,2.7,2.86,3.16,2.79,2.6,3.1,2.6,2.8,3.13,2.75,42,2.86,2.67,3.16,3.03,2.85,2.65,37,2.25,2.14,1.74,1.67,25,0,2,1.91,1.97,1.89
I2,11/10/15,Bari,Virtus Lanciano,1,0,H,1,0,H,1.8,3.4,4.75,1.8,3.4,4.25,1.8,3,4.4,1.8,3.25,4.75,1.85,3.38,5.17,1.8,3.2,4.5,1.83,3.3,5.25,42,1.85,1.79,3.4,3.24,5.25,4.62,32,2.37,2.23,1.65,1.61,25,-0.5,1.85,1.8,2.09,2.01
I2,11/10/15,Cagliari,Cesena,3,1,H,1,0,H,1.8,3.4,4.75,1.75,3.4,4.6,1.8,3,4.4,1.85,3.25,4.5,1.85,3.4,5.24,1.83,3.25,4.2,1.83,3.4,5,42,1.89,1.81,3.4,3.27,5.24,4.48,37,2.19,2.1,1.75,1.7,25,-0.5,1.89,1.83,2.08,1.98
I2,11/10/15,Como,Brescia,1,3,A,1,2,A,2.3,3,3.4,2.3,2.8,3.5,2.3,2.8,3.1,2.3,3,3.3,2.36,3.12,3.54,2.25,3,3.2,2.3,3.1,3.5,42,2.36,2.27,3.15,2.99,3.54,3.25,32,2.36,2.25,1.65,1.6,24,-0.25,1.99,1.94,1.94,1.87
